repo_id,user_id
6801328,3660147
6866209,748172
6866209,4516241
6866209,8555248
6876142,220803
6876142,1651387
6876142,8232037
6931752,6600532
2812,83426
2812,160486
2812,789780
2849,35486
2849,108640
2968,47151
2968,60480
3137,152753
3137,225909
3137,2553540
3137,2940630
3231,139517
3231,166630
3231,275412
3231,294490
3231,464755
3231,683338
3231,3085398
3231,3370842
3231,3709571
3231,10078787
3231,10976227
3231,13640390
3246,171430
3377,78347
3377,118808
3377,207805
3377,208200
3377,239742
3377,426040
3377,1553901
3377,7587475
3377,8709128
149332,148095
149332,170630
149332,210843
149332,213116
149332,304788
149332,350343
149332,1942331
157290,11276109
158753,6621937
158753,6769732
41325830,254330
41325830,3960204
20078281,1014489
20078281,3015579
20078281,9503436
20078281,12800709
20078281,30552031
22041940,3384226
22042509,2374746
22042509,2849547
22042509,2979504
22042509,4868249
22042509,11958265
24944828,3455928
24944828,7800962
24944828,11067453
25080797,21280509
10798,12075
10798,2100669
28032966,3363614
11578,117421
20281355,1531107
20281355,11480219
20290778,1976368
20290778,4018148
8149324,65815
8149324,182861
7015229,132845
3516,83272
3516,425552
3633,283966
3633,901774
3633,1284936
22045218,307444
22045218,12142238
10192058,2361133
3644,155640
3644,181209
3644,961671
3656,1481180
3656,2634029
3714,135511
3714,167845
3894,199457
3894,2288342
3912,134035
3912,644958
3912,6965469
3912,6975231
3214347,215831
9286541,6462039
4003655,89482
4003838,1619367
17911207,16915
17991525,403417
17991525,855118
17991525,1268357
22087532,4058517
22091370,10955770
22101095,374944
22101095,904892
22101095,1686308
22101095,2979504
224328,64502
224328,429818
224328,699593
224328,883213
224328,6810743
4095,5080586
4114,348890
4114,2835267
4114,3520259
4114,4402686
4516,172434
4516,12517513
536165,5527562
15889688,440715
54491,1762524
25821930,1389299
25821930,4290603
25821930,4557508
25849276,359155
25849276,11560672
56050,558038
56050,1805804
20716503,1367970
20716503,11067453
20743170,6412468
20743170,8106281
20743170,13103680
10998645,136961
10998645,308658
10998645,501653
10998645,2503012
10998645,4042723
2366329,7883844
7098727,89751
7098727,126124
7098727,7815934
7123271,2278422
7149279,1576841
7149279,2849547
7149279,5496227
22132266,775212
29,84698
29,2057061
29,4609188
37,1619367
8196280,10443181
8214553,667363
8214553,7246107
8335469,3540743
8335469,3646275
8335469,4964600
8335469,6621937
8335469,7818574
225764,261784
225764,872660
225764,5757808
37,2562920
37,2619703
37,3427312
100,178084
100,883347
114,214021
114,222867
114,1364711
147,1587922
147,10879327
11780,13341
11780,3523208
11821,1837970
11821,4962473
11821,8550623
11989,110872
11989,118147
12158,220803
12158,1023375
12258,964401
12258,1705609
12258,4024322
27693,28240
27693,216333
27693,713314
27693,1184276
28204,183704
28204,8272576
7216211,1770085
7240106,2225187
7240106,2809106
7240106,2942913
7240106,3585746
7240106,4561710
7240106,5123692
7240106,9122986
7240106,10379248
7299184,1015465
7299184,2489536
11724041,16731
11724041,301977
11724041,2648563
8478942,1170499
31227,182861
31227,11186975
31366,1121785
31366,3195625
31366,3468174
31366,4650888
31366,5499828
14328,829025
14328,3457389
14328,9327509
14328,9503436
14877,84698
14877,156441
12911997,2354575
12911997,3946133
12911997,5954624
12911997,8426477
13066443,346719
13066443,1099652
13066443,2985805
284,46027
284,108073
284,807053
284,7968617
334,317106
334,321863
334,1034444
337,99827
337,883925
337,884159
340,20518
340,4742860
390,107626
390,748172
392,96600
431,16261
431,386043
431,3036933
431,4647494
431,7684577
431,7909564
496,372521
519,328617
519,7056082
528,384249
13095869,3585746
13345616,3433
13345616,5589227
13348971,61903
31211261,208956
3228357,2707270
26172924,9699707
26258803,7899145
3360645,2788730
3360645,3478804
37084324,7780201
37084324,8973555
22772142,317178
22772142,2944937
10280345,2056486
10280345,5858910
10280345,7963500
10280345,10342206
10312696,193434
10313229,3903972
10372914,310278
10372914,3276986
10372914,10202487
24143180,16178
24143180,4447292
24143180,8013122
24149266,10241797
24149266,10897841
10390278,2464812
10390278,6771868
14210902,6423011
4846,177701
4846,925570
4986,16261
5022,12782
5022,14980
5022,65815
5022,1826854
5101,115486
5101,181639
5101,303906
5101,1835685
5167,3414952
5209,38684
5209,171632
5209,930597
5209,5623564
5210,3700752
5210,8270472
5224,1453834
5224,5941898
5230,1489
14451906,2555711
14451906,6238480
14451906,11612112
14451906,11991719
14477484,8687907
14477484,9794955
14477484,11354191
14537323,3654579
14537323,4360017
14537323,4484678
14537323,11754171
28453010,26189
28453010,4393632
28557277,135618
17991525,2981429
17991525,7679558
17991525,9247442
17991525,10427117
17991525,13248745
18004957,8755988
18006157,3692715
18006157,9289581
2539527,4252328
2539527,9206323
28557277,2552899
28557277,3043034
9472730,135511
9472730,386376
9472730,3758246
9511697,1001671
9527814,2973135
5183711,902513
18462488,1811370
10998645,10094285
10998645,10955770
11033744,8237678
11072234,1121593
11072234,1990662
11072234,8683238
11077845,6383059
11077845,7954493
9570828,7310125
9570828,7862063
9570828,8815268
9608984,16228
9608984,39259
9626183,1546723
9626183,1837970
9626183,2398590
9626183,3312487
9626183,3492420
9626183,5989624
9626183,11088994
9639319,21083
9639319,76540
9639319,338773
683351,261141
683351,866693
31810056,9585938
15962985,820848
15962985,1849219
16174927,7302972
477175,1450467
510486,1473616
11094978,447889
11094978,2973135
11116784,16731
11116784,525530
11140376,262134
11156150,109798
11156150,169809
11156150,1112287
11156150,1267708
4198417,146296
4198417,200703
4198417,330624
4198417,1600925
4198417,1843497
4198417,9060168
4234273,162458
4234273,166477
4234273,731102
4234273,2548842
4234273,3573587
4234273,10275315
16351512,43486
16351512,8039003
16351512,11652331
16415055,3399958
21577612,1465964
21586367,738373
21586367,4013686
21586367,6737039
21613416,2460157
21613416,8749623
32118325,3691659
32173699,2354326
26985008,407801
26985008,2278422
26985008,9153505
26985008,11411499
27261269,7797756
15939,6918772
8550098,820848
8550098,1770085
13356854,9631490
13356854,10452771
13378441,145365
13378441,679213
13378441,3161070
13378441,5065673
13378441,6902189
13395383,136803
27478957,219940
27478957,403659
27478957,671869
27478957,2480496
27478957,7064154
18045,131573
18535,367219
18535,2895654
11750891,168854
11750891,1767741
11750891,4684275
11784159,6409719
11794421,79526
11794421,2248597
11794421,2979504
8778426,700446
32136,11510157
6053504,2134853
6143269,4890498
6143269,6020780
12150380,3178941
10512714,1487194
10512714,7023631
10512714,8300847
64966,1285933
528,435436
528,721031
528,1410149
528,1686308
528,2151886
528,6746894
540,178084
540,283774
634,34349
634,98510
634,915116
634,1223292
708,2062
708,6033
708,157188
708,264107
708,326434
708,592570
708,699042
708,883435
770,47145
770,115505
